0,  5468
1240,  2272
1264,  1044
1224,  1084
1224,  1088
1208,  1092
1216,  1096
1212,  1088
2356,  2264
1180,  1128
2340,  2288
1172,  1132
1168,  1140
2320,  1164
1148,  1176
1132,  2336
2296,  2332
2288,  2340
1124,  1188
2272,  1196
1120,  2348
1120,  1196
1120,  1192
1112,  1200
2272,  1204
1112,  1204
1104,  6716
1128,  2348
1112,  1208
1116,  1196
1112,  1204
1104,  1204
1120,  1200
1104,  1204
2264,  2356
1116,  1196
2264,  2360
1108,  1216
1104,  1204
2256,  1212
1096,  1220
1096,  2360
2256,  2380
2248,  2372
1100,  1216
2252,  1216
1088,  2376
1092,  1216
1096,  1232
1092,  1216
2244,  1224
1100,  1216
1088,  6732
1100,  2384
1096,  1220
1096,  1208
1096,  1224
1088,  1220
1096,  1216
1096,  1216
2252,  2368
1096,  1224
2244,  2376
1092,  1216
1100,  1216
2252,  1224
1080,  1232
1080,  2380
2248,  2376
