0, 23908
736,   596
1368,  1344
676,   656
1336,  1336
680,   636
1372,  1308
720,   604
1396,  1292
708,   616
1376,  1320
664,   676
1324,  1380
636, 23956
700,   636
1372,  1308
700,   632
1368,  1328
704,   640
1360,  1348
664,   680
1320,  1384
632,   692
1332,  1364
672,   664
1352,  1344
636, 23964
644,   700
1328,  1360
664,   676
1344,  1344
672,   672
1344,  1352
656,   676
1332,  1372
636,   704
1296,  1396
624,   708
1316,  1380
640, 23952
680,   652
1344,  1348
676,   664
1328,  1376
632,   708
1308,  1388
636,   700
1320,  1368
656,   684
1340,  1356
648,   684
1328,  1368
648, 23952
640,   700
1316,  1380
648,   688
1336,  1360
664,   668
1344,  1360
664,   668
