0, 14100,
480,  1344,
1340,   484,
480,  1348,
1388,   484,
484,  1348,
504,  1344,
1344,   480,
1364,   508,
1348,   480,
484,  1348,
1388,   480,
1372,   476,
1364,   480,
1324,   484,
476,  1352,
1332,   508,
456,  1348,
456,  1348,
456,  1344,
504,  1348,
1340,   484,
1360,   484,
1368,   480,
484,  1348,
460, 14048,
480,  1344,
1388,   480,
484,  1348,
1348,   480,
476,  1348,
460,  1340,
1340,   480,
1364,   508,
1344,   480,
484,  1348,
1388,   480,
1372,   484,
1360,   480,
1328,   480,
480,  1344,
1340,   508,
456,  1348,
456,  1344,
460,  1340,
504,  1348,
1340,   484,
1360,   484,
1316,   480,
444,  1340,
468, 14096,
476,  1348,
