0, 15000,
    248, 500,
    248, 496,
    244, 504,
    240, 504,
    240, 504,
    240, 504,
    244, 504,
    240, 508,
    240, 3868,
    228, 888,
100, 100,
    0, 15000,
    249, 500,
    248, 496,
    244, 504,
    240, 504,
    400, 504,
    240, 508,
    240, 508,
    240, 508,
    940, 3868,
    900, 888,
    100, 100,
0, 15000,
    249, 500,
    248, 496,
    244, 504,
    240, 504,
    400, 504,
    400, 504,
    400, 504,
    240, 508,
    940, 10,
    0, 0,
    100, 100,
0, 15000,
    249, 500,
    248, 496,
    244, 504,
    240, 504,
    240, 504,
    240, 504,
    400, 504,
    240, 508,
    900, 500,
    100, 10,
    100, 100,
0, 14999,
    247, 501,
    248, 496,
    244, 504,
    240, 504,
    240, 504,
    240, 508,
    240, 508,
    240, 508,
    2000, 1008,
    100, 500,
    100, 100,
100, 100,
100, 100,
