0, 14924
340,   364
348,   364
348,   360
348,   380
332,   380
332,   384
328,   384
332,   388
324,   376
336,   376
340,   380
340,  3740
332,   760
708,   368
344,   760
716,   368
348,   752
340,   752
708,   380
340,   760
336,   760
700,   392
708,   384
696,   392
700,   400
320,   772
696,   392
332,   760
328,   768
324,   768
700,   396
700,   384
708,   396
324,   768
324,   768
320,   768
324,   768
696,   400
316,   772
688,   408
692,   400
692,   404
684,   408
320,   776
316,   768
320,   776
312,   784
684,   400
328,   768
324,   768
320,   776
692,   400
320,   776
316,   776
692,   404
692,   400
316,   772
312,   776
308,   780
688,   408
684,   408
320,   776
308,   784
684,   408
684,   408
684,   404
692,   400
692,   3000
